drugName,condition,review,rating,predicted_rating,generated_summary,identified_sentiment
Levonorgestrel,Emergency Contraception,Plan b really did its job and saved my butt. I have used absolutely no contraceptive as well as letting my bf finish inside me. I know I was not very smart or safe but it was just in the moment after not seeing him for a few months. I took plan b around 4-6 hours after the fact. I had no side effects maybe a little nausea but after a few seconds it was gone. I got my period at the expected date as well. Do not be as negligent as I was and even though plan b did save me I would not fully count on it because it is in fact quite scary. Save yourself the stress and paranoia and think before you act.,10,8,Effective emergency contraception with minor nausea.,positive
Escitalopram,Generalized Anxiety Disorde,"I was on this for 2 months. It helped with anxiety, but wasn't worth the side effects. I gained weight, dry mouth, sleeplessness, and worst of all, little to no sex drive. If I thought of sex, it just seemed like work. When I did have sex with my girlfriend, I couldn't have an orgasm.",4,5,Partial anxiety relief with significant side effects.,negative
Oxybutynin,Urinary Incontinence,"I am a 57 year old female who would HIGHLY recommend this medication. I am taking the pill twice daily and I found it worked on the second day. I don't make 50 trips to the bathroom daily, no more concerns about when I sneeze or cough. It has changed my life drastically! I would recommend this to anyone who has incontinence problems.",10,10,Life-changing relief from severe urinary incontinence.,positive
Lorazepam,Nausea/Vomiting,I would like to share my experience with LORazepam - I have Breast Cancer which entailed a right side mastectomy and axillary node dissection (painful) where I am on Hyrdocod 10/300's for pain. I am on my 4th extensive Chemo where the first 5 days after Chemo every food smell causes severe nausea where I cannot eat - I just want to cover my nose. They had me on Compazine (really needs to be off the market at it is a useless drug - did not work during my pregnancies either that and phenergan) - they put me on Zofran - all this did was want to make me sleep with no relief relative to nausea. After consulting with my Oncologist he placed me Lorazepan and would you not know as soon as I took - within 15 minutes the nausea feeling gone!,9,8,Effective nausea relief within 15 minutes.,positive
Undecylenic acid,Tinea Cruris,I still use this medicine as a standby as it reduces the itching associated with jock itch. I may have picked up a resistant strain as the doctor has prescribed a new cream with betamethasone dipropionate and clotrimazole mixed in as a base. I hope this works,6,5,Partial relief with possible resistance.,negative
Angeliq,Postmenopausal Symptoms,Been on Angeliq for 2 years now All hot flushes disappeared within 3 days! Hallelujah feel human again!!!! Felt great for a year lots of energy only problem was my breasts went up 2 cup sizes! I then decided to take half a tablet and after a month my breast reduced back to normal! ....For the second year I found I had vertigo! Also I felt a shaking inside my body like I had swallowed a mobile phone on vibrate the doctor said it could be anxiety which comes with the menopause! Vertigo is one of the rare side effects with Angelic so asking my doctor to find a low dose of another Hrt hope this works! Will let you know later how this works out!,8,8,"Effective for hot flashes, some breast swelling and vertigo.",positive
Miconazole,Vaginal Yeast Infection,I am 17 and this is my first time having a YI and it's my first night. I'm using the 7 day cream thing and I am feel like I'm dying! I haven't stopped crying since I inserted this stupid cream! It doesn't burn but it itches so bad ! It's 12:30 and I'm still up!,1,2,Severe itching with no relief.,negative
Buprenorphine,Chronic Pain,"I've been on Suboxone, Buprenorphine/Naloxone, & straight Buprenorphine. I find it to definitely help. I am clinically disabled because of my pain issues (Pudendal Nerve Entrapment, Juvenile Degenerative Disc throughout my neck & back, SI Joint issues, & a congenital fusion in my neck.). I've been on some form of this medication or the other for roughly 2.5 years. At first, I no longer had pain, but after about 5 months it slowly came back. However, it still isn't typically as bad as it was when I was on HIGH doses of morphine & Vicodin. I would GLADLY take this before those any day of week! Buprenorphine products have done more for me (taking it EXACTLY as prescribed) than anything else ever has!",6,10,Effective pain management for chronic conditions.,positive
Thyroid desiccated,Underactive Thyroid,"I was on Levothyroxin (generic of Synthroid) for 3 years. It gave me terrible facial acne and my weight fluctuated in an 8 pound cycle up and down. I plateaued at a certain weight. I started Np, and the acne went away immediately, but I've gained 8 pounds over that plateau in 2 months and the cellulite on my legs doubled. I have no idea if this is related but it seems too coincidental. Still super tired. Irritable. Occasional leg cramps.",3,5,Effective for acne but causes weight gain and cellulite.,negative
Miconazole,Vaginal Yeast Infection,"I had strep throat and got put on amoxicillin and got a yeast infection, which happens basically every time I take an antibiotic. Got the Equate brand and it was around $15. It has the cream, some soothing wipes and the capsule you shoot up in your V. It's one day and you use it day or night. I'm not doing anything for the next 4 hours so I figured I'd just do it and get it over with so I can get some relief. The itching from my YI isn't bad. I used the soothing wipes first, then applied the cream to the outer parts, and then inserted the dreaded capsule . Instant relief. I've never used the Monistat brand because I'd rather pay less so I can't help with that but the Equate seems to be getting the job done.",10,8,Effective treatment with instant relief for vaginal yeast infection.,positive
